Journal Data Filtered By:  Selected Categories: ECOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default,,,,,,,,,
,,,,,,,,,
Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,ECOLOGY - SCIE,"44,895",20.589,Q1,1.8,22.69%
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,ECOLOGY - SCIE,"15,584",19.1,Q1,3.62,7.94%
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,1545-2069,ECOLOGY - SCIE,"24,135",14.34,Q1,1.31,0%
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,1540-9295,1540-9309,ECOLOGY - SCIE,"15,209",13.78,Q1,1.85,44.07%
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,1354-1013,1365-2486,ECOLOGY - SCIE,"66,410",13.211,Q1,2.44,30.54%
ECOLOGY LETTERS,ECOL LETT,1461-023X,1461-0248,ECOLOGY - SCIE,"42,643",11.274,Q1,2.27,28.62%
ISME Journal,ISME J,1751-7362,1751-7370,ECOLOGY - SCIE,"39,660",11.217,Q1,2.53,57.61%
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,0012-9615,1557-7015,ECOLOGY - SCIE,"14,142",9.814,Q1,2.22,25.93%
Molecular Ecology Resources,MOL ECOL RESOUR,1755-098X,1755-0998,ECOLOGY - SCIE,"15,145",8.678,Q1,1.62,28.21%
Methods in Ecology and Evolution,METHODS ECOL EVOL,2041-210X,2041-2096,ECOLOGY - SCIE,"24,026",8.335,Q1,1.83,34.36%
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,0169-2046,1872-6062,ECOLOGY - SCIE,"26,862",8.119,Q1,2.1,17.64%
CONSERVATION BIOLOGY,CONSERV BIOL,0888-8892,1523-1739,ECOLOGY - SCIE,"26,729",7.563,Q1,1.46,37.68%
People and Nature,PEOPLE NAT,N/A,2575-8314,ECOLOGY - SCIE,"1,165",7.5,Q1,1.6,98.41%
BIOLOGICAL CONSERVATION,BIOL CONSERV,0006-3207,1873-2917,ECOLOGY - SCIE,"44,069",7.497,Q1,1.42,15.18%
Ecosystem Services,ECOSYST SERV,2212-0416,2212-0416,ECOLOGY - SCIE,"10,132",6.91,Q1,1.38,23.69%
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,1466-822X,1466-8238,ECOLOGY - SCIE,"17,986",6.909,Q1,1.8,21.56%
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,0021-8901,1365-2664,ECOLOGY - SCIE,"28,723",6.865,Q1,1.52,31.58%
ECOGRAPHY,ECOGRAPHY,0906-7590,1600-0587,ECOLOGY - SCIE,"17,627",6.802,Q1,1.5,69.45%
MOLECULAR ECOLOGY,MOL ECOL,0962-1083,1365-294X,ECOLOGY - SCIE,"45,664",6.622,Q1,1.3,27.64%
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,0167-8809,1873-2305,ECOLOGY - SCIE,"35,091",6.576,Q1,1.7,11.80%
