Journal Data Filtered By:  Selected Categories: EVOLUTIONARY BIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2021 Selected Category Schema: WOS Selected Open Access: N Indicator: Default,,,,,,,,,
,,,,,,,,,
Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,EVOLUTIONARY BIOLOGY - SCIE,"44,895",20.589,Q1,1.8,22.69%
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,EVOLUTIONARY BIOLOGY - SCIE,"15,584",19.1,Q1,3.62,7.94%
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,1545-2069,EVOLUTIONARY BIOLOGY - SCIE,"24,135",14.34,Q1,1.31,0%
SYSTEMATIC BIOLOGY,SYST BIOL,1063-5157,1076-836X,EVOLUTIONARY BIOLOGY - SCIE,"21,478",9.16,Q1,3.05,37%
MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,0737-4038,1537-1719,EVOLUTIONARY BIOLOGY - SCIE,"67,311",8.8,Q1,2.98,75.88%
Molecular Ecology Resources,MOL ECOL RESOUR,1755-098X,1755-0998,EVOLUTIONARY BIOLOGY - SCIE,"15,145",8.678,Q1,1.62,28.21%
MOLECULAR ECOLOGY,MOL ECOL,0962-1083,1365-294X,EVOLUTIONARY BIOLOGY - SCIE,"45,664",6.622,Q1,1.3,27.64%
Evolution Letters,EVOL LETT,N/A,2056-3744,EVOLUTIONARY BIOLOGY - SCIE,"1,065",6.494,Q1,1.16,92.31%
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,EVOLUTIONARY BIOLOGY - SCIE,"67,725",5.53,Q1,1.27,32.84%
Evolution Medicine and Public Health,EVOL MED PUBLIC HLTH,N/A,2050-6201,EVOLUTIONARY BIOLOGY - SCIE,831,5.143,Q1,0.89,97.53%
MOLECULAR PHYLOGENETICS AND EVOLUTION,MOL PHYLOGENET EVOL,1055-7903,1095-9513,EVOLUTIONARY BIOLOGY - SCIE,"24,132",5.019,Q1,1.06,11%
Evolutionary Applications,EVOL APPL,1752-4571,1752-4571,EVOLUTIONARY BIOLOGY - SCIE,"7,387",4.929,Q1,1.07,97.20%
SYSTEMATIC ENTOMOLOGY,SYST ENTOMOL,0307-6970,1365-3113,EVOLUTIONARY BIOLOGY - SCIE,"3,299",4.841,Q2,1.55,16.32%
CLADISTICS,CLADISTICS,0748-3007,1096-0031,EVOLUTIONARY BIOLOGY - SCIE,"4,808",4.714,Q2,1.91,10.26%
AMERICAN NATURALIST,AM NAT,0003-0147,1537-5323,EVOLUTIONARY BIOLOGY - SCIE,"31,923",4.367,Q2,1.03,16.19%
EVOLUTION,EVOLUTION,0014-3820,1558-5646,EVOLUTIONARY BIOLOGY - SCIE,"33,634",4.171,Q2,0.93,23%
Genome Biology and Evolution,GENOME BIOL EVOL,1759-6653,1759-6653,EVOLUTIONARY BIOLOGY - SCIE,"9,971",4.065,Q2,0.87,99.87%
JOURNAL OF MOLECULAR EVOLUTION,J MOL EVOL,0022-2844,1432-1432,EVOLUTIONARY BIOLOGY - SCIE,"8,997",3.973,Q2,0.52,27.13%
HEREDITY,HEREDITY,0018-067X,1365-2540,EVOLUTIONARY BIOLOGY - SCIE,"11,502",3.832,Q2,0.92,33.33%
Biology Letters,BIOL LETTERS,1744-9561,1744-957X,EVOLUTIONARY BIOLOGY - SCIE,"13,630",3.812,Q2,0.89,N/A
Evolutionary Biology,EVOL BIOL,0071-3260,1934-2845,EVOLUTIONARY BIOLOGY - SCIE,"1,928",3.696,Q2,0.67,22.47%
JOURNAL OF HUMAN EVOLUTION,J HUM EVOL,0047-2484,1095-8606,EVOLUTIONARY BIOLOGY - SCIE,"9,692",3.656,Q2,1.55,4.02%
EvoDevo,EVODEVO,N/A,2041-9139,EVOLUTIONARY BIOLOGY - SCIE,870,3.569,Q2,0.58,100%
BMC EVOLUTIONARY BIOLOGY,BMC EVOL BIOL,1471-2148,1471-2148,EVOLUTIONARY BIOLOGY - SCIE,"15,425",3.436,Q2,0.76,99.74%
Integrative Organismal Biology,INTEGR ORGANISM BIOL,N/A,2517-4843,EVOLUTIONARY BIOLOGY - SCIE,298,3.207,Q2,0.82,98.37%
ZOOLOGICA SCRIPTA,ZOOL SCR,0300-3256,1463-6409,EVOLUTIONARY BIOLOGY - SCIE,"3,041",3.185,Q3,1.17,11.63%
Ecology and Evolution,ECOL EVOL,2045-7758,2045-7758,EVOLUTIONARY BIOLOGY - SCIE,"23,690",3.167,Q3,0.68,96.06%
PALEOBIOLOGY,PALEOBIOLOGY,0094-8373,1938-5331,EVOLUTIONARY BIOLOGY - SCIE,"4,634",3.153,Q3,0.85,40.35%
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,J SYST PALAEONTOL,1477-2019,1478-0941,EVOLUTIONARY BIOLOGY - SCIE,"1,941",3.152,Q3,0.99,6.83%
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,AM J PHYS ANTHROPOL,0002-9483,1096-8644,EVOLUTIONARY BIOLOGY - SCIE,"14,384",2.963,Q3,1.02,13.75%
EVOLUTION & DEVELOPMENT,EVOL DEV,1520-541X,1525-142X,EVOLUTIONARY BIOLOGY - SCIE,"1,999",2.839,Q3,0.53,16.47%
JOURNAL OF HEREDITY,J HERED,0022-1503,1465-7333,EVOLUTIONARY BIOLOGY - SCIE,"7,024",2.679,Q3,0.69,24.75%
ORGANISMS DIVERSITY & EVOLUTION,ORG DIVERS EVOL,1439-6092,1618-1077,EVOLUTIONARY BIOLOGY - SCIE,"1,857",2.663,Q3,0.94,21.99%
TAXON,TAXON,0040-0262,1996-8175,EVOLUTIONARY BIOLOGY - SCIE,"6,250",2.586,Q3,0.54,14.66%
JOURNAL OF EVOLUTIONARY BIOLOGY,J EVOLUTION BIOL,1010-061X,1420-9101,EVOLUTIONARY BIOLOGY - SCIE,"11,610",2.516,Q3,0.6,25.94%
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,J ZOOL SYST EVOL RES,0947-5745,1439-0469,EVOLUTIONARY BIOLOGY - SCIE,"1,701",2.424,Q3,0.93,17.31%
JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,J EXP ZOOL PART B,1552-5007,1552-5015,EVOLUTIONARY BIOLOGY - SCIE,"1,918",2.368,Q3,0.65,15.83%
INVERTEBRATE SYSTEMATICS,INVERTEBR SYST,1445-5226,1447-2600,EVOLUTIONARY BIOLOGY - SCIE,"1,384",2.364,Q3,0.99,3.77%
BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,BIOL J LINN SOC,0024-4066,1095-8312,EVOLUTIONARY BIOLOGY - SCIE,"11,740",2.277,Q4,0.53,6.13%
DEVELOPMENT GENES AND EVOLUTION,DEV GENES EVOL,0949-944X,1432-041X,EVOLUTIONARY BIOLOGY - SCIE,"1,733",2.116,Q4,0.38,34.55%
EVOLUTIONARY ECOLOGY,EVOL ECOL,0269-7653,1573-8477,EVOLUTIONARY BIOLOGY - SCIE,"3,932",2.074,Q4,0.49,12.57%
Evolutionary Bioinformatics,EVOL BIOINFORM,1176-9343,1176-9343,EVOLUTIONARY BIOLOGY - SCIE,"1,423",2.031,Q4,0.44,99.19%
AUSTRALIAN SYSTEMATIC BOTANY,AUST SYST BOT,1030-1887,1446-5701,EVOLUTIONARY BIOLOGY - SCIE,949,1.765,Q4,0.4,14.71%
PLANT SYSTEMATICS AND EVOLUTION,PLANT SYST EVOL,0378-2697,1615-6110,EVOLUTIONARY BIOLOGY - SCIE,"5,232",1.644,Q4,0.42,11.21%
JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,J EVOL BIOCHEM PHYS+,0022-0930,1608-3202,EVOLUTIONARY BIOLOGY - SCIE,927,1.621,Q4,0.1,0.86%
THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,0040-5809,1096-0325,EVOLUTIONARY BIOLOGY - SCIE,"4,282",1.514,Q4,0.4,15%
Israel Journal of Ecology & Evolution,ISR J ECOL EVOL,1565-9801,2224-4662,EVOLUTIONARY BIOLOGY - SCIE,345,1.463,Q4,0.28,1.64%
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,BIOCHEM SYST ECOL,0305-1978,1873-2925,EVOLUTIONARY BIOLOGY - SCIE,"5,199",1.462,Q4,0.3,1.91%
INSECT SYSTEMATICS & EVOLUTION,INSECT SYST EVOL,1399-560X,1876-312X,EVOLUTIONARY BIOLOGY - SCIE,496,1.304,Q4,0.63,1.49%
ANTHROPOLOGICAL SCIENCE,ANTHROPOL SCI,0918-7960,1348-8570,EVOLUTIONARY BIOLOGY - SCIE,393,1.185,Q4,0.3,97.83%
SYSTEMATIC BOTANY,SYST BOT,0363-6445,1548-2324,EVOLUTIONARY BIOLOGY - SCIE,"3,027",0.933,Q4,0.26,1.52%
BMC Ecology and Evolution,BMC ECOL EVOL,N/A,2730-7182,EVOLUTIONARY BIOLOGY - SCIE,115,N/A,N/A,N/A,99.53%
Ideas in Ecology and Evolution,IDEAS ECOL EVOL,1918-3178,1918-3178,EVOLUTIONARY BIOLOGY - ESCI,91,N/A,N/A,0.15,77.78%
,,,,,,,,,
Copyright (c) 2022 Clarivate ,,,,,,,,,
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use ,,,,,,,,,
