Journal name,JCR Abbreviation,ISSN,eISSN,Total Citations,2021 JIF,2021 JCI,% of OA Gold,Category,JIF Quartile
AMERICAN NATURALIST,AM NAT,0003-0147,1537-5323,31923,4.367,1.03,16.19%,Both,NA
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,1545-2069,24135,14.34,1.31,0%,Both,NA
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,BIOCHEM SYST ECOL,0305-1978,1873-2925,5199,1.462,0.3,1.91%,Both,NA
Biology Letters,BIOL LETTERS,1744-9561,1744-957X,13630,3.812,0.89,N/A,Both,NA
BMC Ecology and Evolution,BMC ECOL EVOL,N/A,2730-7182,115,N/A,N/A,99.53%,Both,NA
Ecology and Evolution,ECOL EVOL,2045-7758,2045-7758,23690,3.167,0.68,96.06%,Both,NA
EVOLUTION,EVOLUTION,0014-3820,1558-5646,33634,4.171,0.93,23%,Both,NA
EVOLUTIONARY ECOLOGY,EVOL ECOL,0269-7653,1573-8477,3932,2.074,0.49,12.57%,Both,NA
HEREDITY,HEREDITY,0018-067X,1365-2540,11502,3.832,0.92,33.33%,Both,NA
Israel Journal of Ecology & Evolution,ISR J ECOL EVOL,1565-9801,2224-4662,345,1.463,0.28,1.64%,Both,NA
JOURNAL OF EVOLUTIONARY BIOLOGY,J EVOLUTION BIOL,1010-061X,1420-9101,11610,2.516,0.6,25.94%,Both,NA
Molecular Ecology Resources,MOL ECOL RESOUR,1755-098X,1755-0998,15145,8.678,1.62,28.21%,Both,NA
MOLECULAR ECOLOGY,MOL ECOL,0962-1083,1365-294X,45664,6.622,1.3,27.64%,Both,NA
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,15584,19.1,3.62,7.94%,Both,NA
PALEOBIOLOGY,PALEOBIOLOGY,0094-8373,1938-5331,4634,3.153,0.85,40.35%,Both,NA
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,67725,5.53,1.27,32.84%,Both,NA
THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,0040-5809,1096-0325,4282,1.514,0.4,15%,Both,NA
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,44895,20.589,1.8,22.69%,Both,NA
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,1540-9295,1540-9309,15209,13.78,1.85,44.07%,ECOLOGY - SCIE,Q1
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,1354-1013,1365-2486,66410,13.211,2.44,30.54%,ECOLOGY - SCIE,Q1
ECOLOGY LETTERS,ECOL LETT,1461-023X,1461-0248,42643,11.274,2.27,28.62%,ECOLOGY - SCIE,Q1
ISME Journal,ISME J,1751-7362,1751-7370,39660,11.217,2.53,57.61%,ECOLOGY - SCIE,Q1
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,0012-9615,1557-7015,14142,9.814,2.22,25.93%,ECOLOGY - SCIE,Q1
Methods in Ecology and Evolution,METHODS ECOL EVOL,2041-210X,2041-2096,24026,8.335,1.83,34.36%,ECOLOGY - SCIE,Q1
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,0169-2046,1872-6062,26862,8.119,2.1,17.64%,ECOLOGY - SCIE,Q1
CONSERVATION BIOLOGY,CONSERV BIOL,0888-8892,1523-1739,26729,7.563,1.46,37.68%,ECOLOGY - SCIE,Q1
People and Nature,PEOPLE NAT,N/A,2575-8314,1165,7.5,1.6,98.41%,ECOLOGY - SCIE,Q1
BIOLOGICAL CONSERVATION,BIOL CONSERV,0006-3207,1873-2917,44069,7.497,1.42,15.18%,ECOLOGY - SCIE,Q1
Ecosystem Services,ECOSYST SERV,2212-0416,2212-0416,10132,6.91,1.38,23.69%,ECOLOGY - SCIE,Q1
GLOBAL ECOLOGY AND BIOGEOGRAPHY,GLOBAL ECOL BIOGEOGR,1466-822X,1466-8238,17986,6.909,1.8,21.56%,ECOLOGY - SCIE,Q1
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,0021-8901,1365-2664,28723,6.865,1.52,31.58%,ECOLOGY - SCIE,Q1
ECOGRAPHY,ECOGRAPHY,0906-7590,1600-0587,17627,6.802,1.5,69.45%,ECOLOGY - SCIE,Q1
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,AGR ECOSYST ENVIRON,0167-8809,1873-2305,35091,6.576,1.7,11.80%,ECOLOGY - SCIE,Q1
ECOLOGICAL ECONOMICS,ECOL ECON,0921-8009,1873-6106,36096,6.536,1.58,18.20%,ECOLOGY - SCIE,Q1
ECOLOGY,ECOLOGY,0012-9658,1939-9170,72018,6.431,1.36,18.96%,ECOLOGY - SCIE,Q1
JOURNAL OF ECOLOGY,J ECOL,0022-0477,1365-2745,26651,6.381,1.6,21.02%,ECOLOGY - SCIE,Q1
FUNCTIONAL ECOLOGY,FUNCT ECOL,0269-8463,1365-2435,22359,6.282,1.32,19.32%,ECOLOGY - SCIE,Q1
ECOLOGICAL APPLICATIONS,ECOL APPL,1051-0761,1939-5582,26273,6.105,1.14,26.53%,ECOLOGY - SCIE,Q1
Remote Sensing in Ecology and Conservation,REMOTE SENS ECOL CON,N/A,2056-3485,1112,5.787,1.33,97.06%,ECOLOGY - SCIE,Q1
