key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-614562075,Use of soft data for multicriteria calibration and validation of Agricultural Policy Environmental eXtender: Impact on model simulations,2018,11,,JOURNAL OF SOIL AND WATER CONSERVATION,"[""0022-4561"", ""1941-3300     J9  - J SOIL WATER CONSERV     JI  - J. Soil Water Conserv.""]",73,6,623-636,"Nelson, AM and Moriasi, DN and Talebizadeh, M and Steiner, JL and Gowda, PH and Starks, PJ and Tadesse, HK",,English,,"USDA ARS, El Reno, OK 73036 USA","Use of soft data and multiple model performance criteria in model calibration and validation are critical to ensure that environmental models capture major hydrologic and water quality processes.The Agricultural Policy/Environmental eXtender (APEX) is a hydrologic and water quality model widely used for evaluating the effect of agricultural production management practices on the environment. However, there are few studies on the impact of soft data on APEX model outputs.This study sought to determine the impact of soft data (i.e., crop yields, evapotranspiration [ET], and drainage) used to constrain calibration on APEX model to simulate outputs (streamflow, total nitrogen [TN], and total phosphorus [TP] losses), as well as the impact of tile drainage on the model outputs to help identify issues with APEX. Long-term measured water quality and quantity data from Rock Creek watershed, northern Ohio, were used for this purpose. Four calibration scenarios were used: (A) streamflow statistics only, (B) streamflow statistics plus soft data, (C) streamflow plus water quality, and (D) streamflow plus water quality plus yields plus soft criteria.The number of parameter sets that meet the criteria decreased from 3,325 to 2, as the number of calibration criteria increased. In general, when soft data were used to constrain the model, the Nash-Sutcliffe efficiency (NSE) values decreased for all components. For example, NSE for streamflow decreased from 0.79 for scenario A to 0.56 for scenario B when the soft data were used, and NSE for TP decreased from 0.34 for scenario C to 0.30 for scenario D. However, the scenarios that used soft data with lower NSE values simulated the biophysical processes more accurately. For all calibration/validation scenarios, streamflow,TN, and TP values were drastically reduced when the model was run without tile drainage. However, there was hardly any tile drainage impact on ET, surface runoff, or crop yields for all scenarios, indicating that improvements in tile drainage, water table, and crop growth routines may be needed. Overall, the results show the importance of constraining the model parameters to produce reasonable values of crop yield and water balance closure to obtain realistic simulations of various management practices.","Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  65 | RAYYAN-INCLUSION: {""Coralie""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not statistical method",10.2489/jswc.73.6.623     WE  - Science Citation Index Expanded (SCI-EXPANDED),Agricultural Policy Environmental eXtender (APEX);performance measures;Rock Creek;tile drainage;CONSERVATION EFFECTS ASSESSMENT;EFFECTS ASSESSMENT PROJECT;NUTRIENT TRACKING TOOL;WATER-QUALITY;APEX MODEL;POLICY/ENVIRONMENTAL EXTENDER;SUBSURFACE DRAINAGE;LAKE-ERIE;PERFORMANCE;STREAMFLOW;Calibration,,
rayyan-614562076,Scale-insensitive estimation of speed and distance traveled from animal tracking data,2019,11,15,MOVEMENT ECOLOGY,2051-3933     J9  - MOV ECOL     JI  - Mov. Ecol.,7,1,,"Noonan, MJ and Fleming, CH and Akre, TS and Drescher-Lehman, J and Gurarie, E and Harrison, AL and Kays, R and Calabrese, JM",,English,,"[""Natl Zool Pk, Smithsonian Conservat Biol Inst, 1500 Remount Rd, Front Royal, VA 22630 USA"", ""Univ Maryland, Dept Biol, College Pk, MD 20742 USA"", ""George Mason Univ, Dept Biol, 4400 Univ Dr, Fairfax, VA 22030 USA"", ""Natl Zool Pk, Smithsonian Conservat Biol Inst, Migratory Bird Ctr, Washington, DC 20008 USA"", ""North Carolina Museum Nat Sci, Biodivers Lab, Raleigh, NC 27601 USA"", ""North Carolina State Univ, Dept Forestry & Environm Resources, 4400 Univ Dr, Raleigh, NC 27695 USA""]","Background Speed and distance traveled provide quantifiable links between behavior and energetics, and are among the metrics most routinely estimated from animal tracking data. Researchers typically sum over the straight-line displacements (SLDs) between sampled locations to quantify distance traveled, while speed is estimated by dividing these displacements by time. Problematically, this approach is highly sensitive to the measurement scale, with biases subject to the sampling frequency, the tortuosity of the animal's movement, and the amount of measurement error. Compounding the issue of scale-sensitivity, SLD estimates do not come equipped with confidence intervals to quantify their uncertainty. Methods To overcome the limitations of SLD estimation, we outline a continuous-time speed and distance (CTSD) estimation method. An inherent property of working in continuous-time is the ability to separate the underlying continuous-time movement process from the discrete-time sampling process, making these models less sensitive to the sampling schedule when estimating parameters. The first step of CTSD is to estimate the device's error parameters to calibrate the measurement error. Once the errors have been calibrated, model selection techniques are employed to identify the best fit continuous-time movement model for the data. A simulation-based approach is then employed to sample from the distribution of trajectories conditional on the data, from which the mean speed estimate and its confidence intervals can be extracted. Results Using simulated data, we demonstrate how CTSD provides accurate, scale-insensitive estimates with reliable confidence intervals. When applied to empirical GPS data, we found that SLD estimates varied substantially with sampling frequency, whereas CTSD provided relatively consistent estimates, with often dramatic improvements over SLD. Conclusions The methods described in this study allow for the computationally efficient, scale-insensitive estimation of speed and distance traveled, without biases due to the sampling frequency, the tortuosity of the animal's movement, or the amount of measurement error. In addition to being robust to the sampling schedule, the point estimates come equipped with confidence intervals, permitting formal statistical inference. All the methods developed in this study are now freely available in the ctmmR package or the ctmmweb point-and-click web based graphical user interface.","Times Cited in Web of Science Core Collection:  45     Total Times Cited:  45     Cited Reference Count:  65 | RAYYAN-INCLUSION: {""Coralie""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not statistical method",10.1186/s40462-019-0177-1     WE  - Science Citation Index Expanded (SCI-EXPANDED),Continuous-time;correlated velocity;ctmm;GPS;movement models;step length;telemetry;travel distance;HOME-RANGE;MOVEMENT;TIME;TELEMETRY;MODELS;FRAMEWORK;INFERENCE;ECOLOGY;MOTION;Animal Shells;Animals;Travel,,
rayyan-614562077,Single-fit bootstrapping: A simple alternative to the delta method,2022,6,,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",13,6,1358-1367,"Fletcher, D and Jowett, T",,English,,"[""David Fletcher Consulting Ltd, Karitane, New Zealand"", ""Univ Otago, Dept Math & Stat, Dunedin, New Zealand""]","In many environmental and ecological settings, the analysis of data involves calculation of a confidence interval for a nonlinear function of the model parameters. In the frequentist approach, this is often achieved by using a Wald interval in which the standard error of the estimate of the function is obtained using the delta method. The purpose of this paper is to promote a simple alternative to the delta method that will provide better coverage properties when the estimates of the model parameters have a distribution that is approximately multivariate normal, as will be the case asymptotically for maximum likelihood estimates in regular models. We propose a simple diagnostic tool that can be used to assess the reliability of this assumption. The method we promote can be thought of as a computationally efficient version of parametric bootstrapping, as it mimics such bootstrapping without a need to refit the model. We provide two examples to illustrate use of the new method and present simulation results which show that its coverage properties are superior to those for a Wald interval based on the delta method when the assumption of normality for the estimates of the model parameters is reliable. We also compare its coverage properties and computational effort with those of parametric bootstrapping.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  26 | RAYYAN-INCLUSION: {""Coralie""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: included in survey",10.1111/2041-210X.13848,bootstrap;confidence interval;delta method;nonlinear function;simulation;zero-inflated model;CONFIDENCE-INTERVALS;ABUNDANCE,,
rayyan-614562078,Comparing traditional and Bayesian approaches to ecological meta-analysis,2020,10,,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",11,10,1286-1295,"Pappalardo, P and Ogle, K and Hamman, EA and Bence, JR and Hungate, BA and Osenberg, CW",,English,,"[""Univ Georgia, Odum Sch Ecol, Athens, GA 30602 USA"", ""No Arizona Univ, Sch Informat Comp & Cyber Syst, Flagstaff, AZ 86011 USA"", ""No Arizona Univ, Ctr Ecosyst Sci & Soc, Flagstaff, AZ 86011 USA"", ""No Arizona Univ, Dept Biol Sci, Flagstaff, AZ 86011 USA"", ""Michigan State Univ, Quantitat Fisheries Ctr, Dept Fisheries & Wildlife, E Lansing, MI 48824 USA""]","Despite the wide application of meta-analysis in ecology, some of the traditional methods used for meta-analysis may not perform well given the type of data characteristic of ecological meta-analyses. We reviewed published meta-analyses on the ecological impacts of global climate change, evaluating the number of replicates used in the primary studies (n(i)) and the number of studies or records (k) that were aggregated to calculate a mean effect size. We used the results of the review in a simulation experiment to assess the performance of conventional frequentist and Bayesian meta-analysis methods for estimating a mean effect size and its uncertainty interval. Our literature review showed thatn(i)andkwere highly variable, distributions were right-skewed and were generally small (mediann(i) = 5, mediank = 44). Our simulations show that the choice of method for calculating uncertainty intervals was critical for obtaining appropriate coverage (close to the nominal value of 0.95). Whenkwas low (<40), 95% coverage was achieved by a confidence interval (CI) based on thetdistribution that uses an adjusted standard error (the Hartung-Knapp-Sidik-Jonkman, HKSJ), or by a Bayesian credible interval, whereas bootstrap orzdistribution CIs had lower coverage. Despite the importance of the method to calculate the uncertainty interval, 39% of the meta-analyses reviewed did not report the method used, and of the 61% that did, 94% used a potentially problematic method, which may be a consequence of software defaults. In general, for a simple random-effects meta-analysis, the performance of the best frequentist and Bayesian methods was similar for the same combinations of factors (kand mean replication), though the Bayesian approach had higher than nominal (>95%) coverage for the mean effect whenkwas very low (k < 15). Our literature review suggests that many meta-analyses that usedzdistribution or bootstrapping CIs may have overestimated the statistical significance of their results when the number of studies was low; more appropriate methods need to be adopted in ecological meta-analyses.","Times Cited in Web of Science Core Collection:  18     Total Times Cited:  18     Cited Reference Count:  41 | RAYYAN-INCLUSION: {""Coralie""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: included in survey",10.1111/2041-210X.13445,bias;confidence interval;coverage;credible interval;effect size;global climate change;log response ratio;sample size;CONFIDENCE-INTERVALS;EFFECT SIZE;HETEROGENEITY;VARIANCE;MODELS;TESTS,,
rayyan-614562079,freqpcr: Estimation of population allele frequency using qPCR Delta Delta Cq measures from bulk samples,2022,5,,MOLECULAR ECOLOGY RESOURCES,"[""1755-098X"", ""1755-0998     J9  - MOL ECOL RESOUR     JI  - Mol. Ecol. Resour.""]",22,4,1380-1393,"Sudo, M and Osakabe, M",,English,,"[""NARO Kanaya Tea Res Stn, Inst Plant Protect, Div Fruit Tree & Tea Pest Control Res, Shimada, Shizuoka, Japan"", ""Kyoto Univ, Grad Sch Agr, Lab Ecol Informat, Kyoto, Japan""]","PCR techniques, both quantitative (qPCR) and nonquantitative, have been used to estimate the frequency of a specific allele in a population. However, the labour required to sample numerous individuals and subsequently handle each sample renders the quantification of rare mutations (e.g., pesticide resistance gene mutations at the early stages of resistance development) challenging. Meanwhile, pooling DNA from multiple individuals as a ""bulk sample"" combined with qPCR may reduce handling costs. The qPCR output for a bulk sample, however, contains uncertainty owing to variations in DNA yields from each individual, in addition to measurement errors. In this study, we have developed a statistical model to estimate the frequency of the specific allele and its confidence interval when the sample allele frequencies are obtained in the form of Delta Delta Cq in the qPCR analyses on multiple bulk samples collected from a population. We assumed a gamma distribution as the individual DNA yield and developed an R package for parameter estimation, which was verified using real DNA samples from acaricide-resistant spider mites, as well as a numerical simulation. Our model resulted in unbiased point estimates of the allele frequency compared with simple averaging of the Delta Delta Cq values. The confidence intervals suggest that dividing the bulk samples into more parts will improve precision if the total number of individuals is equal; however, if the cost of PCR analysis is higher than that of sampling, increasing the total number and pooling them into a few bulk samples may also yield comparable precision.","Times Cited in Web of Science Core Collection:  2     Total Times Cited:  2     Cited Reference Count:  46 | RAYYAN-INCLUSION: {""Coralie""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: genomic",10.1111/1755-0998.13554,confidence interval;group testing;maximum-likelihood estimation;R language;real-time polymerase chain reaction;REAL-TIME PCR;INSECTICIDE RESISTANCE;MOLECULAR DIAGNOSTICS;CONSERVATION;SELECTION;STRATEGY;MUTATION;MODELS;Gene Frequency;Alleles,,
rayyan-614562080,Experimental design principles to choose the number of Monte Carlo replicates for stochastic ecological models,2019,2,24,ECOLOGICAL MODELLING,"[""0304-3800"", ""1872-7026     J9  - ECOL MODEL     JI  - Ecol. Model.""]",394,,11-17,"Kennedy, MC",,English,,"Univ Washington, Sch Interdisciplinary Arts & Sci, Div Sci & Math, 1900 Commerce St, Tacoma, WA 98402 USA","Ecologists often rely on computer models as virtual laboratories to evaluate alternative theories, make predictions, perform scenario analysis, and to aid in decision-making. The application of ecological models can have real-world consequences that drive ecological theory development and science-based decision and policy making, so it is imperative that the conclusions drawn from ecological models have a strong, credible quantitative basis. In particular it is important to establish whether any predicted change in a model output has ecological and statistical significance. Ecological models may include stochastic components, using probability distributions to represent some modeled processes. An individual run of a stochastic ecological model is a random draw from an infinitely large population, requiring replicate simulations to estimate the distribution of model outcomes. An important consideration is the number of Monte Carlo replicates necessary to draw useful conclusions from the model analysis. A simple framework is presented that borrows from well-understood techniques for experimental design, including confidence interval estimation and sample size power analysis. The desired precision of interval estimates for model prediction, or the minimum desired detectable effect size between scenarios, is established by the researcher in the context of the model objectives and the ecological system. The number of replicates required to achieve that level of precision or detectable effect is computed given an estimate of the variability in the model outcomes of interest. If the number of replicates is computationally prohibitive, then the expected precision or detectable effect for that sample size should be reported. An example is given for a stochastic model of fire spread integrated with an eco-hydrological model.","Times Cited in Web of Science Core Collection:  6     Total Times Cited:  6     Cited Reference Count:  14 | RAYYAN-INCLUSION: {""Coralie""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: review/recommendations",10.1016/j.ecolmodel.2018.12.022     WE  - Science Citation Index Expanded (SCI-EXPANDED),Stochastic simulation;Confidence interval;Prediction interval;Inference;Estimation;Research Design,,
rayyan-614562081,Constraints on global oceanic emissions of N<sub>2</sub>O from observations and models,2018,4,13,BIOGEOSCIENCES,"[""1726-4170"", ""1726-4189     J9  - BIOGEOSCIENCES     JI  - Biogeosciences""]",15,7,2161-2175,"Buitenhuis, ET and Suntharalingam, P and Le Quéré, C",,English,,"[""Univ East Anglia, Sch Environm Sci, Norwich, Norfolk, England"", ""Univ East Anglia, Tyndall Ctr Climate Change Res, Norwich, Norfolk, England""]","We estimate the global ocean N2O flux to the atmosphere and its confidence interval using a statistical method based on model perturbation simulations and their fit to a database of Delta pN(2)O (n = 6136). We evaluate two sub-models of N2O production. The first submodel splits N2O production into oxic and hypoxic pathways following previous publications. The second submodel explicitly represents the redox transformations of N that lead to N2O production (nitrification and hypoxic denitrification) and N2O consumption (suboxic denitrification), and is presented here for the first time. We perturb both submodels by modifying the key parameters of the N2O cycling pathways (nitrification rates; NH4+ uptake; N2O yields under oxic, hypoxic and suboxic conditions) and determine a set of optimal model parameters by minimisation of a cost function against four databases of N cycle observations. Our estimate of the global oceanic N2O flux resulting from this cost function minimisation derived from observed and model Delta pN(2)O concentrations is 2.4 +/- 0.8 and 2.5 +/- 0.8 Tg N yr(-1) for the two N2O submodels. These estimates suggest that the currently available observational data of surface Delta pN(2)O constrain the global N2O flux to a narrower range relative to the large range of results presented in the latest IPCC report.","Times Cited in Web of Science Core Collection:  31     Total Times Cited:  31     Cited Reference Count:  73 | RAYYAN-INCLUSION: {""Coralie""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not statistical method",10.5194/bg-15-2161-2018     WE  - Science Citation Index Expanded (SCI-EXPANDED),NITROUS-OXIDE PRODUCTION;SOUTHERN-OCEAN;UPTAKE RATES;NUTRIENT DYNAMICS;PHYTOPLANKTON;NITRIFICATION;PACIFIC;OXYGEN;PROJECTIONS;KINETICS,,
rayyan-614562082,The uniform AUC: Dealing with the representativeness effect in presence-absence models,2022,6,,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",13,6,1224-1236,"Jiménez-Valverde, A",,English,,"Univ Alcala, Fac Ciencias, Dept Ciencias Vida, Alcala De Henares, Spain","Species distribution models use occurrence data of the focus species together with environmental variables to estimate a habitat suitability score. Typically, the discrimination capacity of the models, that is, how good the instances of presence and absence are correctly classified, is assessed with statistics such as the area under the receiver operating characteristic curve (AUC). However, the value of any discrimination statistic depends on the distribution of the suitability scores in the evaluation dataset, the so-called representativeness effect. For example, the same well-calibrated model evaluated with two datasets, one set with mostly intermediate predicted values (around 0.5) and another set in which most cases have extreme predicted values (close to 0 and close to 1), will yield low (towards 0.5) and high (towards 1) AUC values, respectively. Thus, discrimination values are entirely context dependent and cannot be directly compare between datasets because they are not intrinsic measures of a model's performance. In this contribution, I propose a methodology based on stratified bootstrapping with an inverse probability weighting that makes the distribution of the suitability values uniform and harmonizes the AUC so that the so-called uAUC can now be compared between different datasets. I run simulations considering a range of sample sizes and different initial distributions of the suitability values to validate the method. I apply the method to an empirical exercise, and implement it in the R package vandalico. Although I mainly focused on the AUC, the harmonization procedure can be applied to any other discrimination measure that is prevalence independent in a strict mathematical sense, such as the sensitivity star (Se*). To provide accurate estimations, it is important to have a high-quality evaluation dataset, that is, a dataset that covers the whole spectrum of suitability values and a minimum sample size of at least 150 cases. Further research is needed to develop a method to estimate reliable confidence intervals. I expect the harmonization methodology proposed here to be of interest in other research areas (besides ecology) that deal with discrimination/classification problems.","Times Cited in Web of Science Core Collection:  2     Total Times Cited:  2     Cited Reference Count:  90 | RAYYAN-INCLUSION: {""Coralie""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: included in survey",10.1111/2041-210X.13826,AUC;comparability;discrimination;harmonization;representativeness effect;sensitivity star;species distribution modelling;SPECIES DISTRIBUTION MODELS;PREDICTIVE PERFORMANCE;CONFIDENCE-INTERVALS;ROC ANALYSIS;AREA;PREVALENCE;NICHE;DISCRIMINATION;DISTRIBUTIONS;ACCURACY;Area Under Curve,,
rayyan-614562083,Understanding the impact of correlation within pair-bonds on Cormack-Jolly-Seber models,2021,6,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,11,11,5966-5984,"Draghici, AM and Challenger, WO and Bonner, SJ",,English,,"[""Western Univ, Dept Stat & Actuarial Sci, London, ON N6A 5B7, Canada"", ""LGL Ltd, Sidney, BC, Canada""]","The Cormack-Jolly-Seber (CJS) model and its extensions have been widely applied to the study of animal survival rates in open populations. The model assumes that individuals within the population of interest have independent fates. It is, however, highly unlikely that a pair of animals which have formed a long-term pairing have dissociated fates.        We examine a model extension which allows animals who have formed a pair-bond to have correlated survival and recapture fates. Using the proposed extension to generate data, we conduct a simulation study exploring the impact that correlated fate data has on inference from the CJS model. We compute Monte Carlo estimates for the bias, range, and standard errors of the parameters of the CJS model for data with varying degrees of survival correlation between mates. Furthermore, we study the likelihood ratio test of sex effects within the CJS model by simulating densities of the deviance. Finally, we estimate the variance inflation factor c<^> for CJS models that incorporate sex-specific heterogeneity.        Our study shows that correlated fates between mated animals may result in underestimated standard errors for parsimonious models, significantly deflated likelihood ratio test statistics, and underestimated values of c<^> for models taking sex-specific effects into account.        Underestimated standard errors can result in lowered coverage of confidence intervals. Moreover, deflated test statistics will provide overly conservative test results. Finally, underestimated variance inflation factors can lead researchers to make incorrect conclusions about the level of extra-binomial variation present in their data.","Times Cited in Web of Science Core Collection:  2     Total Times Cited:  2     Cited Reference Count:  40 | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1002/ece3.7329,Cormack&#8211;Jolly&#8211;Seber models;correlated fates;goodness&#8208;of&#8208;fit testing;nested models;overdispersion;pair&#8208;bonds;variance inflation factors;SURVIVAL;HETEROGENEITY;DIVORCE;TESTS,,
rayyan-614562084,Why and how we should join the shift from significance testing to estimation,2022,6,,JOURNAL OF EVOLUTIONARY BIOLOGY,"[""1010-061X"", ""1420-9101     J9  - J EVOLUTION BIOL     JI  - J. Evol. Biol.""]",35,6,777-787,"Berner, D and Amrhein, V",,English,,"Univ Basel, Dept Environm Sci, Zool, Vesalgasse 1, CH-4051 Basel, Switzerland","A paradigm shift away from null hypothesis significance testing seems in progress. Based on simulations, we illustrate some of the underlying motivations. First, p-values vary strongly from study to study, hence dichotomous inference using significance thresholds is usually unjustified. Second, 'statistically significant' results have overestimated effect sizes, a bias declining with increasing statistical power. Third, 'statistically non-significant' results have underestimated effect sizes, and this bias gets stronger with higher statistical power. Fourth, the tested statistical hypotheses usually lack biological justification and are often uninformative. Despite these problems, a screen of 48 papers from the 2020 volume of the Journal of Evolutionary Biology exemplifies that significance testing is still used almost universally in evolutionary biology. All screened studies tested default null hypotheses of zero effect with the default significance threshold of p = 0.05, none presented a pre-specified alternative hypothesis, pre-study power calculation and the probability of 'false negatives' (beta error rate). The results sections of the papers presented 49 significance tests on average (median 23, range 0-390). Of 41 studies that contained verbal descriptions of a 'statistically non-significant' result, 26 (63%) falsely claimed the absence of an effect. We conclude that studies in ecology and evolutionary biology are mostly exploratory and descriptive. We should thus shift from claiming to 'test' specific hypotheses statistically to describing and discussing many hypotheses (possible true effect sizes) that are most compatible with our data, given our statistical model. We already have the means for doing so, because we routinely present compatibility ('confidence') intervals covering these hypotheses.","Times Cited in Web of Science Core Collection:  11     Total Times Cited:  11     Cited Reference Count:  87 | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1111/jeb.14009,compatibility interval;effect size;null hypothesis;p-value;scientific method;statistical inference;STATISTICAL SIGNIFICANCE;CONFIDENCE-INTERVALS;P-VALUES;POWER CALCULATIONS;SCIENCE;NULL;HYPOTHESIS;ECOLOGY;CRISIS;METAANALYSIS,,
