Journal name,JCR Abbreviation,ISSN,eISSN,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold,Category
AMERICAN NATURALIST,AM NAT,0003-0147,1537-5323,31923,4.367,Q2,1.03,16.19%,Both
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,1545-2069,24135,14.34,Q1,1.31,0%,Both
BIOCHEMICAL SYSTEMATICS AND ECOLOGY,BIOCHEM SYST ECOL,0305-1978,1873-2925,5199,1.462,Q4,0.3,1.91%,Both
Biology Letters,BIOL LETTERS,1744-9561,1744-957X,13630,3.812,Q2,0.89,N/A,Both
BMC Ecology and Evolution,BMC ECOL EVOL,N/A,2730-7182,115,N/A,N/A,N/A,99.53%,Both
EVOLUTION,EVOLUTION,0014-3820,1558-5646,33634,4.171,Q2,0.93,23%,Both
HEREDITY,HEREDITY,0018-067X,1365-2540,11502,3.832,Q2,0.92,33.33%,Both
Israel Journal of Ecology & Evolution,ISR J ECOL EVOL,1565-9801,2224-4662,345,1.463,Q4,0.28,1.64%,Both
JOURNAL OF EVOLUTIONARY BIOLOGY,J EVOLUTION BIOL,1010-061X,1420-9101,11610,2.516,Q3,0.6,25.94%,Both
Molecular Ecology Resources,MOL ECOL RESOUR,1755-098X,1755-0998,15145,8.678,Q1,1.62,28.21%,Both
MOLECULAR ECOLOGY,MOL ECOL,0962-1083,1365-294X,45664,6.622,Q1,1.3,27.64%,Both
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,15584,19.1,Q1,3.62,7.94%,Both
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,P ROY SOC B-BIOL SCI,0962-8452,1471-2954,67725,5.53,Q1,1.27,32.84%,Both
THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,0040-5809,1096-0325,4282,1.514,Q4,0.4,15%,Both
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,44895,20.589,Q1,1.8,22.69%,Both
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,1540-9295,1540-9309,15209,13.78,Q1,1.85,44.07%,ECOLOGY - SCIE
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,1354-1013,1365-2486,66410,13.211,Q1,2.44,30.54%,ECOLOGY - SCIE
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,0012-9615,1557-7015,14142,9.814,Q1,2.22,25.93%,ECOLOGY - SCIE
Methods in Ecology and Evolution,METHODS ECOL EVOL,2041-210X,2041-2096,24026,8.335,Q1,1.83,34.36%,ECOLOGY - SCIE
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,0169-2046,1872-6062,26862,8.119,Q1,2.1,17.64%,ECOLOGY - SCIE
CONSERVATION BIOLOGY,CONSERV BIOL,0888-8892,1523-1739,26729,7.563,Q1,1.46,37.68%,ECOLOGY - SCIE
People and Nature,PEOPLE NAT,N/A,2575-8314,1165,7.5,Q1,1.6,98.41%,ECOLOGY - SCIE
BIOLOGICAL CONSERVATION,BIOL CONSERV,0006-3207,1873-2917,44069,7.497,Q1,1.42,15.18%,ECOLOGY - SCIE
JOURNAL OF APPLIED ECOLOGY,J APPL ECOL,0021-8901,1365-2664,28723,6.865,Q1,1.52,31.58%,ECOLOGY - SCIE
ECOGRAPHY,ECOGRAPHY,0906-7590,1600-0587,17627,6.802,Q1,1.5,69.45%,ECOLOGY - SCIE
ECOLOGICAL ECONOMICS,ECOL ECON,0921-8009,1873-6106,36096,6.536,Q1,1.58,18.20%,ECOLOGY - SCIE
ECOLOGY,ECOLOGY,0012-9658,1939-9170,72018,6.431,Q1,1.36,18.96%,ECOLOGY - SCIE
JOURNAL OF ECOLOGY,J ECOL,0022-0477,1365-2745,26651,6.381,Q1,1.6,21.02%,ECOLOGY - SCIE
FUNCTIONAL ECOLOGY,FUNCT ECOL,0269-8463,1365-2435,22359,6.282,Q1,1.32,19.32%,ECOLOGY - SCIE
ECOLOGICAL APPLICATIONS,ECOL APPL,1051-0761,1939-5582,26273,6.105,Q1,1.14,26.53%,ECOLOGY - SCIE
Remote Sensing in Ecology and Conservation,REMOTE SENS ECOL CON,N/A,2056-3485,1112,5.787,Q1,1.33,97.06%,ECOLOGY - SCIE
DIVERSITY AND DISTRIBUTIONS,DIVERS DISTRIB,1366-9516,1472-4642,12239,5.714,Q1,1.28,92.34%,ECOLOGY - SCIE
Plants People Planet,PLANTS PEOPLE PLANET,N/A,2572-2611,678,5.695,Q1,1.08,96.11%,ECOLOGY - SCIE
